Reporting Date,Equity,Debt,Hybrid
24-02-2021,-345.21,2721.14,-43.7
23-02-2021,-493.35,-794.15,-68.13
22-02-2021,931.7,-514.67,-68.19
18-02-2021,1190.51,-598.01,-39.75
17-02-2021,2212.12,-920.53,-100.29
16-02-2021,1918.72,572.84,16.63
15-02-2021,-1710.02,261.32,870.68
12-02-2021,1023.63,71.59,-11.79
11-02-2021,1884.41,-264.56,-34.75
10-02-2021,3307.3,75.54,1.53
09-02-2021,2172.59,-208.15,-19.2
08-02-2021,1412.08,297.22,-16.16
05-02-2021,3797.76,375.65,-20.98
04-02-2021,2681.29,396.0,-15.93
03-02-2021,6809.23,783.88,-1.82
02-02-2021,1848.56,444.49,-10.97
01-02-2021,-4344.23,-526.92,-2.96
29-01-2021,-3781.08,346.03,-0.3
28-01-2021,-673.16,-1107.03,-1.75
27-01-2021,296.77,203.86,4.11
25-01-2021,-839.19,1746.19,-3.3
22-01-2021,1738.79,1977.64,-0.62
21-01-2021,2494.55,-2527.8,7.18
20-01-2021,847.23,-160.17,1.63
19-01-2021,1951.51,-1299.58,13.66
18-01-2021,-1052.86,-379.72,-10.4
15-01-2021,1611.72,-620.84,14.02
14-01-2021,2166.28,-559.13,-4.79
13-01-2021,941.11,-1360.67,5.29
12-01-2021,2939.88,-1864.19,-2.55
11-01-2021,6011.5,444.34,-1.24
08-01-2021,802.51,-1040.25,-7.37
07-01-2021,-345.28,-290.54,-7.08
06-01-2021,-193.25,393.45,-2.13
05-01-2021,2758.66,1071.63,3.77
04-01-2021,1180.24,23.01,21.19
01-01-2021,616.58,179.77,-46.62
31-12-2020,1762.71,1902.66,-14.25
30-12-2020,2411.26,73.43,-29.43
29-12-2020,1701.67,-275.53,-4.4
28-12-2020,-503.29,1389.87,-16.51
24-12-2020,699.46,-699.39,-25.53
23-12-2020,3221.95,-332.14,2434.99
22-12-2020,22.87,-1341.83,-11.27
21-12-2020,3840.64,-297.23,3.11
18-12-2020,2633.36,2340.44,-2.46
17-12-2020,2016.43,-513.56,-14.64
16-12-2020,2310.93,-2171.58,-3.32
15-12-2020,3477.27,1452.28,2.47
14-12-2020,5037.42,2469.57,2.12
11-12-2020,3513.12,306.11,-0.63
10-12-2020,3653.13,621.81,-8.74
09-12-2020,3122.59,623.6,-8.71
08-12-2020,3414.42,-116.99,-2.24
07-12-2020,3160.01,-188.51,2.26
04-12-2020,3685.73,2774.82,3.2
03-12-2020,163.73,-363.64,201.13
02-12-2020,3537.67,-487.54,-13.72
01-12-2020,9132.6,-624.94,-4.35
27-11-2020,3001.66,-499.11,-21.54
26-11-2020,-1337.52,-1205.16,-5.4
25-11-2020,5526.21,-755.43,-4.06
24-11-2020,4889.55,-607.54,-6.77
23-11-2020,3899.98,485.51,-4.86
20-11-2020,2188.16,-590.66,-4.28
19-11-2020,5403.75,-124.88,120.57
18-11-2020,5618.74,190.13,-6.45
17-11-2020,1730.94,27.71,-11.35
13-11-2020,3559.05,42.74,-8.0
12-11-2020,8580.01,2495.15,-18.9
11-11-2020,1423.32,57.05,-72.12
10-11-2020,4426.03,984.37,-28.16
09-11-2020,4883.99,276.95,-37.58
06-11-2020,5403.11,364.95,-11.57
05-11-2020,167.45,-774.71,-17.36
04-11-2020,1542.98,2433.31,-16.01
03-11-2020,856.21,-494.24,-5.97
02-11-2020,-1405.95,287.29,-9.54
29-10-2020,-872.11,-540.74,-3.78
28-10-2020,3589.14,-830.15,-7.08
